TA,Section,Location,Times
John Smith,017A D02,OLSON147,1810-1900(R)
Jane Doe,021A B03,WELLMN229,1810-1900(R)
Jane Doe,115A 002,HARING1204,1610-1700(R)
Samuel Oak,021B A05,BAINER1130,2010-2100(R)
Samuel Oak,021D B03,OLSON261,1910-2000(R)
James McCloud,021B A04,HOAGLD108,1610-1700(R)
Diego Armando,021A C05,WELLMN7,1710-1800(T)
Maya Fey,108 A02,GIEDT1007,1210-1300(R)
Marvin Grossberg,016A 004,OLSON147,1410-1500(FMW)
Dahlia Hawthorne,017A B04,BAINER1130,2010-2100(T)
Dahlia Hawthorne,021A A03,YOUNG192,1910-2000(T)
Trucy Wright,067 A01,WELLMN212,1100-1150(T)
Phineas Filch,022A 001,WELLMN226,1510-1600(FMW)
Phineas Filch,167 001,CRUESS107,1000-1050(FMW)
Luke Triton,022B 001,WELLMN216,1000-1050(FMW)
Luke Triton,165 001,BAINER1060,1310-1400(FMW)
Flora Reinhold,017A E02,HUTCH102,2010-2100(R)
Emma Altava,108 A01,PHYSIC148,1510-1600(R)
Hershel Layton,236A 001,BAINER1128,1100-1150(FMW)
Miles Edgeworth,118A 001,HOAGLD168,1410-1500(FMW)
Miles Edgeworth,245 001,BAINER1128,1510-1600(FMW)
Richard Gumshoe,250A 001,HART1128,1000-1050(T)
Franziska von_Karma,021A B04,BAINER1132,1610-1700(R)
Cynthia Stone,016B 001,WELLMN226,1310-1400(FMW)
Cynthia Stone,016C 001,GIEDT1002,800-850(FMW)
Maggey Byrde,125A A02,HGYM290,1710-1800(R)
Will Powers,201A 001,CRUESS107,900-950(T)
Jack Hammer,012 001,WELLMN216,1410-1500(FMW)
Jack Hammer,150A B02,GIEDT1006,900-950(T)
Wendy Oldbag,067 A02,HOAGLD113,900-950(T)
Wendy Oldbag,207A 001,PHYSIC140,1000-1050(FMW)
Cody Hackins,180 001,STORER1344,1210-1300(FMW)
Redd White,017A C02,BAINER1060,1710-1800(R)
April May,016A 005,WELLMN1,1210-1300(FMW)
April May,235A 001,HOAGLD113,1610-1730(RT)
Larry Butz,021D B02,HOAGLD108,1710-1800(R)
Larry Butz,150A A02,BAINER1134,1910-2000(R)
Summer Winters,016B 003,WELLMN212,1000-1050(FMW)
Summer Winters,239 001,BAINER1060,1000-1050(FMW)
Lotta Hart,021A A05,BAINER1132,1810-1900(T)
Ema Skye,228A 001,BAINER1062,1340-1500(RT)
Jake Marshall,021B B01,HOAGLD168,1810-1900(T)
Danny1,017B A02,KERR293,1910-2000(T)
Danny1,021A E03,YOUNG192,1710-1800(R)
Danny2,016A 002,WELLMN216,1100-1150(FMW)
Danny2,021D C01,HOAGLD108,1810-1900(T)
Danny3,017A G02,BAINER1132,1710-1800(R)
Danny3,021A D02,OLSON147,1910-2000(T)
Danny4,017A E06,BAINER1130,1710-1800(R)
Danny4,021C C01,HOAGLD168,1810-1900(R)
Danny5,021C C02,HOAGLD168,1910-2000(R)
Danny5,022A 002,HARING2205,1610-1700(FMW)
Danny6,021D B05,HGYM290,1910-2000(R)
Danny6,108 B02,CHEM166,1910-2000(T)
Danny7,017C A03,WELLMN229,1810-1900(T)
Danny7,021A G02,OLSON223,1810-1900(R)
Danny8,021B A02,BAINER1130,1910-2000(R)
Danny8,021D B01,HOAGLD108,1810-1900(R)
Danny9,021A F02,WELLMN1,1910-2000(T)
Danny9,021B C02,OLSON205,1710-1800(T)
Danny10,021B A03,HUTCH102,1810-1900(R)
Danny10,129 001,PHYSIC140,1100-1150(FMW)
Danny11,021B A06,GIEDT1006,1810-1900(R)
Danny11,108 B01,CHEM166,1810-1900(T)
Danny12,016A 003,SOCSCI1100,800-850(FMW)
Danny12,021C B01,WELLMN1,1910-2000(R)
Danny13,017A C05,YOUNG192,2010-2100(R)
Danny13,215A 001,HARING1204,1100-1150(FMW)
Danny14,017A B05,PHYSIC148,1910-2000(T)
Danny14,017A B06,HOAGLD108,1610-1700(T)
Danny15,021A E02,YOUNG192,1610-1700(R)
Danny15,025 B02,BAINER1128,1910-2000(R)
Danny16,021A B01,PHYSIC148,1910-2000(R)
Danny16,021D C06,OLSON251,1810-1900(T)
Danny17,017A E04,OLSON251,1910-2000(R)
Danny17,017C A04,WELLMN229,1910-2000(T)
Danny18,017A A06,OLSON251,1610-1700(T)
Danny18,021A D01,OLSON147,1810-1900(T)
Danny19,017A C06,BAINER1060,1910-2000(R)
